city,ZipCode,Price,Pollution index,HospitalDistance,TouristScore,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Population index,Latitude,Longtitude
colombo-07,700,89866219.59,99.98,0.0516,99.95,0.05,0.05,8/13/2017,9/19/2016,0.06,1,0,99.99,6.906667,79.863333
colombo-07,700,89853604.76,99.93,0.052,99.9,0.05,0.06,8/12/2017,2/10/2013,0.06,0,0,99.94,6.906667,79.863333
colombo-07,700,89828462.12,99.65,0.0606,99.71,0.05,0.06,8/11/2017,9/6/2015,0.06,1,0,99.79,6.906667,79.863333
colombo-07,700,89665852.59,99.52,0.0621,99.62,0.06,0.06,8/11/2017,2/6/2018,0.06,1,0,99.77,6.906667,79.863333
colombo-07,700,89535688.25,99.18,0.0624,99.61,0.06,0.06,8/10/2017,10/3/2017,0.07,0,0,99.77,6.906667,79.863333
colombo-07,700,89305210.2,99.15,0.0668,99.51,0.06,0.06,8/9/2017,1/22/2015,0.07,0,0,99.46,6.906667,79.863333
colombo-07,700,89200305.66,98.96,0.0704,99.51,0.06,0.07,8/9/2017,6/28/2017,0.08,1,0,99.45,6.906667,79.863333
colombo-07,700,89195565.28,98.83,0.0712,99.41,0.06,0.07,8/9/2017,12/8/2016,0.08,0,0,99.36,6.906667,79.863333
colombo-07,700,88942113.15,98.77,0.0744,99.4,0.06,0.08,8/6/2017,5/14/2015,0.08,0,0,99.32,6.906667,79.863333
colombo-07,700,88850017.77,98.75,0.0745,99.39,0.07,0.08,8/6/2017,4/10/2016,0.08,1,0,99.21,6.906667,79.863333
Kollupitiya,300,88830005.53,98.54,0.0757,99.32,0.07,0.09,8/5/2017,7/25/2014,0.08,0,0,99.18,6.900556,79.853333
Kollupitiya,300,88524447.22,98.44,0.0783,99.27,0.08,0.09,7/30/2017,6/10/2015,0.08,1,0,99.13,6.900556,79.853333
